id,category,trial,answer,pred,response
KIIP_society_187,Society,0,A,A,"### ANSWER
A"
KIIP_society_188,Society,0,A,A,"A
### ANSWER
A"
KIIP_society_189,Society,0,C,D,"### ANSWER
D"
KIIP_society_190,Society,0,A,A,"### ANSWER
A"
KIIP_tradition_78,Tradition,0,B,B,"### ANSWER
B"
KIIP_tradition_79,Tradition,0,A,A,"### ANSWER
A"
KIIP_tradition_80,Tradition,0,A,A,"### ANSWER
A"
KIIP_tradition_81,Tradition,0,A,D,"### ANSWER
D"
KIIP_economy_1,Economy,0,C,A,"### ANSWER
A"
KIIP_economy_2,Economy,0,A,A,"A

### ANSWER
A"
KIIP_economy_3,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_4,Economy,0,D,D,"### ANSWER
D"
KIIP_economy_5,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_6,Economy,0,B,B,"B
### ANSWER
B"
KIIP_economy_7,Economy,0,B,B,"B

### ANSWER
B"
KIIP_economy_8,Economy,0,A,A,"### ANSWER
A"
KIIP_tradition_82,Tradition,0,C,C,"### ANSWER
C"
KIIP_tradition_83,Tradition,0,A,A,"### ANSWER
A"
KIIP_tradition_84,Tradition,0,C,C,"### ANSWER
C"
KIIP_tradition_85,Tradition,0,B,B,"### ANSWER
B"
TK_2016_27,Textual,0,C,C,"### ANSWER  
C"
TK_2016_28,Textual,0,A,A,"### ANSWER  
A"
TK_2016_29,Textual,0,B,B,"### ANSWER  
B"
TK_2016_30,Textual,0,A,A,"### ANSWER
A"
KIIP_society_191,Society,0,C,C,"C

### ANSWER
C"
KIIP_society_192,Society,0,C,C,"### ANSWER
C"
KIIP_society_193,Society,0,A,A,"### ANSWER
A"
KIIP_society_194,Society,0,D,D,"### ANSWER
D"
KHB_66_11,History,0,B,B,B
KHB_66_12,History,0,D,D,"D

### ANSWER
D"
KHB_66_13,History,0,C,B,"### ANSWER
B"
KHB_66_14,History,0,A,C,"### ANSWER
C"
TK_2016_31,Textual,0,D,D,"### ANSWER  
D"
TK_2016_32,Textual,0,D,D,"### ANSWER  
D"
TK_2016_33,Textual,0,C,C,"### ANSWER  
C"
TK_2016_34,Textual,0,A,A,"### ANSWER  
A"
KIIP_society_195,Society,0,C,D,"### ANSWER
D"
KIIP_society_196,Society,0,A,A,"### ANSWER
A"
KIIP_society_197,Society,0,D,D,"D

### ANSWER
D"
