id,category,trial,answer,pred,response
KIIP_economy_15,Economy,0,D,D,D
KIIP_economy_16,Economy,0,A,A,A
KIIP_economy_3,Economy,0,C,C,C
KIIP_economy_4,Economy,0,D,D,D
KIIP_economy_5,Economy,0,C,C,C
KIIP_economy_6,Economy,0,B,B,B
KIIP_economy_7,Economy,0,B,B,B
KIIP_economy_8,Economy,0,A,A,A
KIIP_economy_9,Economy,0,C,C,C
KIIP_economy_10,Economy,0,C,C,C
KIIP_economy_17,Economy,0,A,A,A
KIIP_economy_18,Economy,0,C,C,C
KIIP_economy_19,Economy,0,A,A,A
KIIP_economy_20,Economy,0,B,B,B
KIIP_economy_13,Economy,0,C,C,C
KIIP_economy_14,Economy,0,C,C,C
KIIP_economy_11,Economy,0,D,C,C
KIIP_economy_12,Economy,0,A,A,A
KIIP_economy_1,Economy,0,C,C,C
KIIP_economy_2,Economy,0,A,A,A
