id,category,trial,answer,pred,response
nurse_468,nurse,0,A,A,A
nurse_469,nurse,0,A,A,A
nurse_470,nurse,0,C,C,C
nurse_471,nurse,0,A,A,A
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
pharm_794,pharm,0,C,C,C
pharm_795,pharm,0,E,E,E
pharm_796,pharm,0,B,B,B
pharm_797,pharm,0,A,A,A
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
nurse_472,nurse,0,D,D,D
nurse_473,nurse,0,E,E,E
nurse_474,nurse,0,C,C,C
nurse_475,nurse,0,B,B,B
pharm_192,pharm,0,B,B,B
pharm_193,pharm,0,B,B,B
pharm_194,pharm,0,B,B,B
pharm_195,pharm,0,D,D,D
nurse_769,nurse,0,A,A,A
nurse_770,nurse,0,D,D,D
nurse_771,nurse,0,A,A,A
nurse_772,nurse,0,B,B,B
nurse_476,nurse,0,A,A,A
nurse_477,nurse,0,E,E,E
nurse_478,nurse,0,B,B,B
nurse_479,nurse,0,A,A,A
nurse_171,nurse,0,A,D,D
nurse_172,nurse,0,D,D,D
nurse_173,nurse,0,A,A,A
nurse_174,nurse,0,B,B,B
doctor_301,doctor,0,D,D,D
doctor_302,doctor,0,B,B,B
doctor_303,doctor,0,A,A,A
doctor_304,doctor,0,D,D,D
nurse_773,nurse,0,D,D,D
nurse_774,nurse,0,B,B,B
nurse_775,nurse,0,E,E,E
nurse_776,nurse,0,A,A,A
nurse_480,nurse,0,D,D,D
nurse_481,nurse,0,B,B,B
nurse_482,nurse,0,D,D,D
nurse_483,nurse,0,E,E,E
pharm_497,pharm,0,C,C,C
pharm_498,pharm,0,B,B,B
pharm_499,pharm,0,E,E,E
pharm_500,pharm,0,D,D,D
nurse_484,nurse,0,D,D,D
nurse_485,nurse,0,E,E,E
nurse_486,nurse,0,D,D,D
nurse_487,nurse,0,B,B,B
pharm_196,pharm,0,C,C,C
pharm_197,pharm,0,D,D,D
pharm_198,pharm,0,C,C,C
pharm_199,pharm,0,D,D,D
