id,category,trial,answer,pred,response
nurse_167,nurse,0,C,C,"### ANSWER  
C"
nurse_168,nurse,0,B,B,"### ANSWER  
B"
nurse_169,nurse,0,A,A,"### ANSWER
A"
nurse_170,nurse,0,D,D,"### ANSWER  
D  

**Reasoning:**  
The elderly patient has uncontrolled hypertension (140/100 mmHg) due to non-adherence to medication. Immediate hospitalization (A) is unnecessary without acute symptoms. Explaining side effects (B) or increasing dosage (C) ignores the core issue of adherence. Registering for fee support (E) addresses cost but not compliance. The priority is assessing barriers to adherence, providing education, and monitoring compliance (D), which aligns with standard nursing practice for chronic disease management."
nurse_171,nurse,0,A,D,"### ANSWER  
D"
nurse_172,nurse,0,D,D,"### ANSWER  
D"
nurse_173,nurse,0,A,A,"### ANSWER  
A"
nurse_174,nurse,0,B,B,"### ANSWER
B"
dentist_210,dentist,0,D,,[EMPTY_RESPONSE]
dentist_211,dentist,0,D,D,"### ANSWER  
D"
dentist_212,dentist,0,D,,[EMPTY_RESPONSE]
dentist_213,dentist,0,A,A,"### ANSWER  
A"
pharm_493,pharm,0,C,,[EMPTY_RESPONSE]
pharm_494,pharm,0,B,B,"### ANSWER  
B"
pharm_495,pharm,0,E,E,"### ANSWER  
E"
pharm_496,pharm,0,B,B,"### ANSWER  
B"
nurse_769,nurse,0,A,A,"### ANSWER
A"
nurse_770,nurse,0,D,D,"### ANSWER
D"
nurse_771,nurse,0,A,,[EMPTY_RESPONSE]
nurse_772,nurse,0,B,B,"### ANSWER  
B  

**Reasoning:**  
In nursing care for schizophrenia patients with delusions, arguing about the delusion (A, D, E) is inappropriate as it can increase anxiety and reinforce the belief. While showing interest in feelings (C) is empathetic, focusing on delusion content risks validation. The best practice is to avoid debating the delusion entirely (B), maintaining a calm, non-confrontational approach to build trust without reinforcing false beliefs.  

### ANSWER  
B"
doctor_0,doctor,0,C,C,"### ANSWER  
C"
doctor_1,doctor,0,C,C,"### ANSWER  
C"
doctor_2,doctor,0,A,B,"### ANSWER  
B"
doctor_3,doctor,0,C,,[EMPTY_RESPONSE]
pharm_497,pharm,0,C,,[EMPTY_RESPONSE]
pharm_498,pharm,0,B,B,"### ANSWER  
B"
pharm_499,pharm,0,E,E,"E

### ANSWER
E"
pharm_500,pharm,0,D,D,"### ANSWER  
D"
dentist_214,dentist,0,E,E,"### ANSWER  
E"
dentist_215,dentist,0,D,,[EMPTY_RESPONSE]
dentist_216,dentist,0,C,C,"### ANSWER  
C"
dentist_217,dentist,0,C,C,"### ANSWER  
C"
nurse_773,nurse,0,D,D,"### ANSWER  
D  

**Reasoning:**  
The patient’s response (""점심을 먹고 바다가 파래, 자주색 김밥, 물고기 엄마..."") is disorganized and lacks logical coherence, reflecting **언어적 의사소통장애** (language communication disorder). This aligns with schizophrenia’s hallmark symptom of disorganized speech. Option A (급성 혼동) implies confusion about time/place/person, which isn’t evident. Options B, C, and E describe social, self-esteem, or violence risks—not directly observed here.  

### ANSWER  
D"
nurse_774,nurse,0,B,B,"### ANSWER
B"
nurse_775,nurse,0,E,,[EMPTY_RESPONSE]
nurse_776,nurse,0,A,A,"### ANSWER
A"
doctor_4,doctor,0,E,,[EMPTY_RESPONSE]
doctor_5,doctor,0,A,D,"### ANSWER
D"
doctor_6,doctor,0,D,E,"### ANSWER  
E"
doctor_7,doctor,0,B,,[EMPTY_RESPONSE]
nurse_175,nurse,0,B,B,"### ANSWER  
B"
nurse_176,nurse,0,A,C,"### ANSWER
C"
nurse_177,nurse,0,E,E,"### ANSWER
E"
nurse_178,nurse,0,A,A,"### ANSWER
A"
pharm_501,pharm,0,E,E,"### ANSWER  
E"
pharm_502,pharm,0,D,D,"### ANSWER  
D  

**Reasoning:**  
시프로플록사신은 플루오로퀴놀론 항생제로, 특히 고령자 및 스테로이드 사용 시 **건(힘줄) 파열** 위험을 상승시킵니다. 이 환자는 70세이면서 프레드니솔론(스테로이드)을 사용하고 있어 이 위험 요소가 모두 충족됩니다. 다른 선택지(소변정체, 혈압상승, 고요산혈증, 여성형유방증)는 시프로플록사신의 주요 이상반응이 아닙니다.  

### ANSWER  
D"
pharm_503,pharm,0,A,A,"### ANSWER  
A"
pharm_504,pharm,0,D,D,"### ANSWER  
D"
nurse_179,nurse,0,C,C,"### ANSWER
C"
nurse_180,nurse,0,E,E,"### ANSWER
E"
nurse_181,nurse,0,C,C,"### ANSWER  
C"
nurse_182,nurse,0,D,D,"### ANSWER  
D"
nurse_777,nurse,0,E,E,"### ANSWER  
E"
nurse_778,nurse,0,C,C,"### ANSWER
C"
nurse_779,nurse,0,C,D,"### ANSWER  
D"
nurse_780,nurse,0,B,E,"### ANSWER
E"
dentist_218,dentist,0,C,C,"### ANSWER  
C"
dentist_219,dentist,0,C,B,"### ANSWER  
B"
dentist_220,dentist,0,E,,[EMPTY_RESPONSE]
dentist_221,dentist,0,D,D,"### ANSWER  
D"
doctor_8,doctor,0,C,E,"### ANSWER
E"
doctor_9,doctor,0,C,,[EMPTY_RESPONSE]
doctor_10,doctor,0,A,B,"B

### ANSWER
B"
doctor_11,doctor,0,B,E,"### ANSWER  
E"
pharm_505,pharm,0,C,C,"### ANSWER  
C  

**Reasoning:**  
레보플록사신은 플루오록사신류 항생제로, 철분(예: 황산제일철)과 복용 시 흡수율이 감소하는 약물상호작용이 발생합니다. 철분 보충제는 레보플록사신과 최소 4시간 간격을 두고 복용해야 합니다. 다른 선택지인 수마트립탄, 토피라메이트, 에스오메프라졸, 아세트아미노펜은 레보플록사신과 상당한 상호작용이 없습니다. 철결핍빈혈이 있는 환자는 철분 보충제를 사용하고 있기 때문에 이와의 상호작용이 가장 중요합니다."
pharm_506,pharm,0,E,,[EMPTY_RESPONSE]
pharm_507,pharm,0,A,A,"### ANSWER  
A"
pharm_508,pharm,0,D,D,"### ANSWER  
D  

**Reasoning:**  
Candida krusei is intrinsically resistant to fluconazole and other azoles. Continuing or increasing fluconazole (options A, B, E) is ineffective. Flucytosine (C) carries high risk of toxicity in renal impairment (CrCl 46 mL/min), making it unsuitable. Echinocandins like micafungin are first-line for azole-resistant candidemia and are safe in renal dysfunction. Switching to micafungin addresses the resistance and clinical deterioration."
nurse_781,nurse,0,C,C,"### ANSWER  
C"
nurse_782,nurse,0,B,B,"### ANSWER  
B  

**Reasoning:**  
The scenario describes intentional use of muscle relaxants to feign disability and gain attention, which aligns with **factitious disorder** (B). Factitious disorder involves deliberate production of symptoms to assume the ""sick role"" and receive care/attention. Conversion disorder (A) involves unconscious neurological symptoms, illness anxiety disorder (C) focuses on health worries without intentional symptom fabrication, somatic symptom disorder (D) involves distressing symptoms without intentional production, and depersonalization/derealization disorder (E) relates to detachment from self/reality. Only factitious disorder matches the intentional behavior described.  

### ANSWER  
B"
nurse_783,nurse,0,E,D,"### ANSWER  
D"
nurse_784,nurse,0,A,A,"### ANSWER
A"
nurse_183,nurse,0,E,E,"### ANSWER  
E"
nurse_184,nurse,0,B,B,"### ANSWER  
B"
nurse_185,nurse,0,B,,[EMPTY_RESPONSE]
nurse_186,nurse,0,B,B,"### ANSWER  
B"
pharm_509,pharm,0,D,D,"### ANSWER  
D  

**Reasoning:**  
The patient has a creatinine clearance (CrCl) of 37 mL/min, indicating significantly reduced renal function (stage 3 chronic kidney disease). Fluconazole is primarily excreted renally, and dose adjustment is required in patients with impaired renal function to prevent drug accumulation and toxicity. While weight (58 kg) and age (52 years) are factors, the CrCl value is the critical parameter mandating dose reduction. There is no significant interaction between fluconazole and amoxicillin that would necessitate lower dosing. Thus, renal function (신장기능) is the primary reason.  

### ANSWER  
D"
pharm_510,pharm,0,E,E,"### ANSWER  
E"
pharm_511,pharm,0,D,D,"### ANSWER  
D"
pharm_512,pharm,0,E,E,"### ANSWER  
E"
nurse_785,nurse,0,D,D,"### ANSWER
D"
nurse_786,nurse,0,E,E,"### ANSWER  
E"
nurse_787,nurse,0,E,E,"### ANSWER  
E"
nurse_788,nurse,0,D,D,"### ANSWER  
D"
dentist_222,dentist,0,E,,[EMPTY_RESPONSE]
dentist_223,dentist,0,A,A,"### ANSWER
A"
dentist_224,dentist,0,C,C,"### ANSWER
C"
dentist_225,dentist,0,D,D,"### ANSWER  
D"
doctor_12,doctor,0,A,A,"### ANSWER
A"
doctor_13,doctor,0,A,,[EMPTY_RESPONSE]
doctor_14,doctor,0,E,B,"### ANSWER  
B"
doctor_15,doctor,0,E,E,"### ANSWER  
E"
nurse_187,nurse,0,E,E,"### ANSWER  
E"
nurse_188,nurse,0,E,E,"### ANSWER  
E"
nurse_189,nurse,0,A,A,"### ANSWER  
A"
nurse_190,nurse,0,C,C,"### ANSWER  
C  

**Reasoning:**  
For schizophrenia patients with paranoid delusions, arguing about the delusion (B, E) or reinforcing suspicious behaviors (D) worsens anxiety. Physical contact (A) may increase fear. Building trust through consistent, reliable actions—such as keeping promises—is a core nursing intervention to create safety and reduce isolation. This approach avoids confrontation while fostering a therapeutic relationship.  

### ANSWER  
C"
pharm_513,pharm,0,E,E,"### ANSWER  
E"
pharm_514,pharm,0,C,C,"### ANSWER  
C  

**Reasoning:**  
The patient presents with neuropsychiatric symptoms (excessive suspicion, hallucinations, aggression) in Alzheimer’s disease. Atypical antipsychotics like quetiapine are indicated for managing severe behavioral and psychological symptoms in dementia, including psychosis and aggression, despite risks. Gabapentin (A) is for seizures/pain, citalopram (B) and mirtazapine (D) are antidepressants not primary for psychosis, and nortriptyline (E) has anticholinergic risks that may worsen cognition. Quetiapine is the appropriate choice.  

### ANSWER  
C"
pharm_515,pharm,0,D,D,"### ANSWER  
D"
pharm_516,pharm,0,E,E,"### ANSWER  
E"
nurse_191,nurse,0,D,D,"### ANSWER  
D"
nurse_192,nurse,0,D,D,"### ANSWER  
D  

**Reasoning:**  
The correct nursing intervention for a patient with depression after bereavement focuses on supporting the patient’s coping and self-efficacy. Option D encourages the patient to set realistic goals, which is therapeutic and promotes recovery by fostering a sense of accomplishment. Option A suppresses emotions, which is harmful. Option B isolates the patient, worsening depression. Option C overwhelms with large groups prematurely. Option E imposes excessive decision-making demands, increasing stress. Thus, D is the evidence-based approach.  

### ANSWER  
D"
nurse_193,nurse,0,A,A,"### ANSWER  
A"
nurse_194,nurse,0,D,D,"### ANSWER  
D  

**Reasoning:**  
양극성장애의 조증 환자는 자극에 대하여 민감하고 공격적일 수 있으므로, 간호사는 안전을 유지하기 위해 단호하고 중립적인 태도로 행동을 제한해야 합니다. 관찰만 하거나 논쟁을 하면 상황이 악화될 수 있으며, 경쟁적 활동이나 시끄러운 음악은 자극을 더욱 증가시킵니다. 중립적이고 결정적인 행동이 위협을 완화하고 안전한 환경을 조성하는 가장 적절한 접근법입니다.  

### ANSWER  
D"
nurse_195,nurse,0,B,B,"### ANSWER
B"
nurse_196,nurse,0,A,A,"### ANSWER  
A"
nurse_197,nurse,0,C,C,"### ANSWER  
C"
nurse_198,nurse,0,C,C,"### ANSWER  
C"
nurse_789,nurse,0,C,C,"### ANSWER  
C"
nurse_790,nurse,0,A,A,"### ANSWER
A"
nurse_791,nurse,0,D,,[EMPTY_RESPONSE]
nurse_792,nurse,0,E,E,"### ANSWER  
E"
dentist_226,dentist,0,B,B,"### ANSWER
B"
dentist_227,dentist,0,A,,[EMPTY_RESPONSE]
dentist_228,dentist,0,E,E,"E

### ANSWER
E"
dentist_229,dentist,0,E,E,"### ANSWER  
E"
pharm_517,pharm,0,D,D,"### ANSWER  
D  

**Reasoning:**  
리튬은 갑상선 기능 저하증을 유발하는 주요 부작용이 있으며, 피로, 변비, 체중증가, 생리불순 등의 증상은 갑상선 기능 저하를 시사합니다. 리튬 혈중농도가 참고치 위로 높아지면 갑상선 기능 검사가 필요하며, 특히 갑상샘자극호르몬(TSH) 수치가 중요합니다. 다른 선택지는 리튬의 주요 부작용과 직접 관련이 없습니다.  

### ANSWER  
D"
pharm_518,pharm,0,B,B,"### ANSWER
B"
pharm_519,pharm,0,B,B,"### ANSWER  
B  

**Reasoning:**  
메틸페니데이트는 자극제로서 식욕부진을 흔한 부작용으로 유발할 수 있습니다. 특히 성장기 아동에서 체중 감소와 성장 지연을 유발할 수 있으므로 정기적 모니터링이 필요합니다. 저혈당, 수면무호흡, 갑상샘저하증, 고중성지질혈증은 메틸페니데이트의 주요 모니터링 대상이 아닙니다. 따라서 식욕부진이 정답입니다."
pharm_520,pharm,0,D,D,"### ANSWER  
D"
nurse_199,nurse,0,D,D,"### ANSWER  
D"
nurse_200,nurse,0,B,B,"### ANSWER  
B"
nurse_201,nurse,0,A,A,"### ANSWER
A"
nurse_202,nurse,0,E,E,"### ANSWER
E"
doctor_16,doctor,0,E,E,"### ANSWER  
E"
doctor_17,doctor,0,C,,[EMPTY_RESPONSE]
doctor_18,doctor,0,E,C,"### ANSWER
C"
doctor_19,doctor,0,D,D,"### ANSWER  
D"
nurse_793,nurse,0,D,D,"### ANSWER  
D"
nurse_794,nurse,0,D,D,"### ANSWER  
D"
nurse_795,nurse,0,C,C,"### ANSWER  
C"
nurse_796,nurse,0,B,B,"### ANSWER  
B"
nurse_203,nurse,0,A,A,"### ANSWER
A"
nurse_204,nurse,0,C,C,"### ANSWER  
C"
nurse_205,nurse,0,E,E,"### ANSWER  
E  

**Reasoning:**  
신경성식욕부진증 환자에게 적절한 간호중재는 증상 악화 방지를 위해 중요합니다. 운동량 증가(A)는 환자의 체중 감량 의도를 장려할 수 있으므로 부적절합니다. 날씬한 몸매 칭찬(B)은 체형 왜곡된 인식을 강화하므로 금지됩니다. 체중을 하루에 여러 번 측정(C)은 불필요한 스트레스를 줄여야 하며, 한 번에 많은 식사 제공(D)은 식사 거부나 구토를 유발할 수 있습니다. 반면 식사 후 1~2시간 이내 화장실 가는 것을 제한(E)는 구토나 강제 배설 행위를 방지하는 효과적인 중재로, 표준 치료 방법입니다.  

### ANSWER  
E"
nurse_206,nurse,0,D,D,"### ANSWER  
D"
pharm_521,pharm,0,A,A,"### ANSWER  
A"
pharm_522,pharm,0,A,C,"### ANSWER  
C  

**Reasoning:**  
The patient has osteoarthritis and failed maximum-dose acetaminophen. Given her **CrCl of 28 mL/min (moderate renal impairment)**, NSAIDs (celecoxib, diclofenac) pose significant nephrotoxic risks and are generally contraindicated or require extreme caution. Tramadol (A) is not first-line for osteoarthritis due to addiction potential and side effects. Vitamin D (B) does not address acute pain. Duloxetine (C), an SNRI antidepressant, is **FDA-approved for osteoarthritis pain** and is a recommended alternative when NSAIDs are unsuitable due to renal or cardiovascular risks. It avoids renal toxicity and is appropriate here despite mild hypertension (BP 135/82 mmHg is acceptable).  

### ANSWER  
C"
pharm_523,pharm,0,A,A,"### ANSWER  
A"
pharm_524,pharm,0,A,A,"### ANSWER  
A"
nurse_207,nurse,0,C,C,"### ANSWER
C"
nurse_208,nurse,0,D,D,"### ANSWER  
D"
nurse_209,nurse,0,B,B,"### ANSWER  
B"
nurse_210,nurse,0,A,A,"### ANSWER
A"
dentist_230,dentist,0,C,,[EMPTY_RESPONSE]
dentist_231,dentist,0,A,A,"A
### ANSWER
A"
dentist_232,dentist,0,D,,[EMPTY_RESPONSE]
dentist_233,dentist,0,A,A,"### ANSWER  
A"
doctor_20,doctor,0,E,E,"### ANSWER  
E  

**Reasoning:**  
The patient exhibits classic signs of an **acute hemolytic transfusion reaction** (chills, fever, hypotension, tachycardia, blood-stained drainage). Immediate management requires **stopping the transfusion** to prevent further hemolysis and **performing a crossmatch** to confirm blood compatibility. Antihistamines (C) are for mild allergic reactions, washed RBCs (B) address alloimmunization, diuretics (A) or NSAIDs (D) are irrelevant here. Stopping and crossmatching is critical for acute hemolytic reactions.  

### ANSWER  
E"
doctor_21,doctor,0,E,,[EMPTY_RESPONSE]
doctor_22,doctor,0,C,C,"### ANSWER  
C"
doctor_23,doctor,0,D,D,"### ANSWER  
D"
nurse_797,nurse,0,E,E,"### ANSWER  
E"
nurse_798,nurse,0,D,E,"### ANSWER  
E"
nurse_799,nurse,0,A,,[EMPTY_RESPONSE]
nurse_800,nurse,0,C,C,"### ANSWER  
C"
nurse_801,nurse,0,A,A,"### ANSWER  
A"
nurse_802,nurse,0,B,B,"### ANSWER  
B"
nurse_803,nurse,0,C,C,"### ANSWER  
C"
nurse_804,nurse,0,B,B,"### ANSWER
B"
dentist_234,dentist,0,A,A,"### ANSWER  
A"
dentist_235,dentist,0,D,D,"### ANSWER
D"
dentist_236,dentist,0,E,E,"### ANSWER  
E"
dentist_237,dentist,0,E,D,"### ANSWER
D"
nurse_211,nurse,0,B,C,"### ANSWER
C"
nurse_212,nurse,0,E,E,"### ANSWER
E"
